Amplitude,Frequency
0.05699800000000003,0.0
1.398127599511233e-05,0.1111111111111111
9.217591567684016e-06,0.2222222222222222
8.682459346417774e-06,0.3333333333333333
8.176872614768583e-06,0.4444444444444444
1.1510424253008603e-06,0.5555555555555556
1.0020917751777025e-05,0.6666666666666666
2.0075998228287563e-05,0.7777777777777777
2.065743631148269e-05,0.8888888888888888
1.2160828277280818e-05,1.0
1.4395106376024126e-05,1.1111111111111112
1.3840952171727872e-05,1.222222222222222
8.639204723661075e-06,1.3333333333333333
1.900091977723262e-06,1.4444444444444444
5.297287617826139e-06,1.5555555555555554
4.086538266236984e-06,1.6666666666666665
4.677071619863217e-06,1.7777777777777777
1.2090845489278066e-05,1.8888888888888888
3.446494785679316e-06,2.0
7.79842652982821e-06,2.111111111111111
1.188268563034711e-05,2.2222222222222223
1.6663152802542403e-06,2.333333333333333
1.4356116094835867e-05,2.444444444444444
5.619559821160979e-06,2.5555555555555554
4.170056169567656e-06,2.6666666666666665
6.4977960137317845e-06,2.7777777777777777
2.088991879169931e-05,2.888888888888889
1.1430085712796233e-05,3.0
6.305489652144783e-06,3.1111111111111107
8.33787191646196e-06,3.222222222222222
9.98267779985639e-06,3.333333333333333
4.859010946389042e-06,3.444444444444444
1.6509372538556726e-05,3.5555555555555554
7.124737496202701e-07,3.6666666666666665
9.523348466289666e-06,3.7777777777777777
1.513525697006586e-05,3.888888888888889
3.3873680616855042e-06,4.0
1.5594895596189136e-05,4.111111111111111
2.591895094098954e-06,4.222222222222222
1.0373317783756236e-05,4.333333333333333
3.8386709192562066e-06,4.444444444444445
9.478787091792877e-06,4.555555555555555
1.165654241559591e-05,4.666666666666666
1.0235795248133614e-05,4.777777777777778
1.1119980183603276e-05,4.888888888888888
8.872986377999501e-06,5.0
1.725018209178247e-05,5.111111111111111
6.603645391215198e-06,5.222222222222222
9.524633356915275e-06,5.333333333333333
1.793868032405459e-05,5.444444444444444
5.917566205135494e-06,5.555555555555555
3.137089015114785e-06,5.666666666666666
1.3990016735165493e-05,5.777777777777778
1.0204097745887611e-05,5.888888888888888
6.9519472371152545e-06,6.0
8.389041939192625e-06,6.111111111111111
4.2006244582374145e-06,6.222222222222221
8.912951853426694e-06,6.333333333333333
6.975635690238501e-06,6.444444444444444
7.945171551988562e-06,6.555555555555555
1.1922804048528447e-05,6.666666666666666
1.3818619518594726e-05,6.777777777777778
1.4005352378744252e-05,6.888888888888888
7.5270484393706135e-06,7.0
3.7080363089843746e-06,7.111111111111111
2.1825914408308406e-05,7.222222222222221
9.13699978888972e-06,7.333333333333333
9.233174058576117e-06,7.444444444444444
5.303731325665124e-06,7.555555555555555
1.7478443199949168e-06,7.666666666666666
1.1362927156960716e-05,7.777777777777778
2.396357892585609e-06,7.888888888888888
4.9326610717100425e-06,8.0
1.4967903362135212e-05,8.11111111111111
1.2225646502393633e-05,8.222222222222221
5.958011884009811e-06,8.333333333333332
6.385223410717375e-06,8.444444444444445
1.7453078166379653e-05,8.555555555555555
1.3239971320524114e-05,8.666666666666666
9.862243961258892e-06,8.777777777777777
6.216511296908984e-06,8.88888888888889
9.987696428609047e-06,9.0
2.0258831707978115e-06,9.11111111111111
8.608268150300106e-06,9.222222222222221
6.077551360019214e-06,9.333333333333332
5.058816357744629e-06,9.444444444444445
9.635337841380966e-06,9.555555555555555
1.3334185545015787e-05,9.666666666666666
1.029463043435458e-05,9.777777777777777
7.432385719169842e-06,9.888888888888888
8.392969259744079e-06,10.0
2.715337245567539e-06,10.11111111111111
1.8249886934377346e-05,10.222222222222221
8.59433946617016e-06,10.333333333333332
6.943611269307765e-06,10.444444444444445
1.5950766596301846e-06,10.555555555555555
5.152844724433269e-06,10.666666666666666
1.4180904607310342e-05,10.777777777777777
7.111665512686048e-06,10.888888888888888
1.2591644310637458e-05,11.0
1.5861893472407018e-05,11.11111111111111
2.5899958631268496e-06,11.222222222222221
3.5170006019329754e-06,11.333333333333332
3.6182876402833548e-06,11.444444444444445
6.386702304965017e-06,11.555555555555555
6.802709666255012e-06,11.666666666666666
1.0400301370682706e-05,11.777777777777777
4.479392852521081e-06,11.888888888888888
1.2675076144553817e-05,12.0
1.453112772973677e-05,12.11111111111111
1.5723292640442937e-05,12.222222222222221
8.696439300832776e-06,12.333333333333332
3.169769721037952e-06,12.444444444444443
5.858870301434102e-06,12.555555555555555
7.1772772480404775e-06,12.666666666666666
1.01213460711712e-05,12.777777777777777
9.566148049006685e-06,12.888888888888888
6.669539627636626e-06,13.0
8.561723987173552e-06,13.11111111111111
7.845405195907148e-07,13.222222222222221
1.1231403723528044e-05,13.333333333333332
2.1769230009661136e-05,13.444444444444443
9.876130605615973e-06,13.555555555555555
7.113653065577914e-06,13.666666666666666
4.462529925552641e-06,13.777777777777777
2.281637294165136e-06,13.888888888888888
7.2545685635287836e-06,14.0
8.907965181076563e-06,14.11111111111111
8.276835621132981e-06,14.222222222222221
3.954237464529326e-06,14.333333333333332
3.2374574686753514e-06,14.444444444444443
7.916143616693707e-06,14.555555555555555
7.60409283547912e-06,14.666666666666666
1.338633317761654e-05,14.777777777777777
1.0672056193994482e-05,14.888888888888888
4.757213991470642e-06,15.0
1.3133751110744507e-05,15.11111111111111
9.973952758698189e-06,15.222222222222221
1.0660812745203293e-05,15.333333333333332
1.4200472164219191e-05,15.444444444444443
9.792809381249726e-06,15.555555555555555
2.0189196110490842e-05,15.666666666666666
5.008050945354124e-06,15.777777777777777
5.911639669513148e-06,15.888888888888888
1.0798823071946383e-06,16.0
7.136273815017768e-06,16.11111111111111
