Amplitude,Frequency
0.06101400000000003,0.0
7.73436636812336e-06,0.1111111111111111
5.653510735066298e-06,0.2222222222222222
1.8137887442876996e-05,0.3333333333333333
9.051370793799199e-06,0.4444444444444444
5.390814643379418e-06,0.5555555555555556
8.67930138023029e-06,0.6666666666666666
1.1375492122170145e-05,0.7777777777777777
1.0148231004168748e-05,0.8888888888888888
1.3555974806869361e-05,1.0
1.0650472606486497e-05,1.1111111111111112
8.562789055942935e-06,1.222222222222222
1.2229845362353814e-05,1.3333333333333333
1.7447607075081554e-05,1.4444444444444444
8.637197649740037e-06,1.5555555555555554
9.697113177519206e-06,1.6666666666666665
5.036760384043538e-06,1.7777777777777777
1.8115939657987374e-06,1.8888888888888888
1.1650894605545637e-05,2.0
5.110822233680622e-06,2.111111111111111
1.621880110295144e-05,2.2222222222222223
1.237518407554642e-05,2.333333333333333
1.4079936807387276e-05,2.444444444444444
1.6632635571210085e-05,2.5555555555555554
2.0557489657850416e-05,2.6666666666666665
1.418945952815987e-05,2.7777777777777777
8.216412120767268e-06,2.888888888888889
3.486206206065884e-06,3.0
1.6107597977143923e-05,3.1111111111111107
7.736760527866964e-06,3.222222222222222
1.4414373900370314e-05,3.333333333333333
7.2020143124e-06,3.444444444444444
1.5007248343209136e-05,3.5555555555555554
7.936932163288102e-06,3.6666666666666665
1.5142722015466844e-05,3.7777777777777777
1.1107351795823193e-05,3.888888888888889
1.412534633611724e-06,4.0
1.091740895996718e-05,4.111111111111111
9.246502146808346e-06,4.222222222222222
1.415062985864238e-06,4.333333333333333
1.753275999208631e-05,4.444444444444445
2.021670990194056e-05,4.555555555555555
1.7325807906519449e-06,4.666666666666666
1.3145516837842913e-05,4.777777777777778
8.380030780282566e-06,4.888888888888888
3.879800835552289e-06,5.0
1.1323816128667163e-05,5.111111111111111
9.67229706583352e-06,5.222222222222222
1.2705435217655502e-05,5.333333333333333
6.79386482878344e-06,5.444444444444444
3.4866335494316745e-06,5.555555555555555
4.813263731774719e-06,5.666666666666666
1.1883252778493695e-05,5.777777777777778
1.3149246936924865e-05,5.888888888888888
1.0663461122033142e-05,6.0
1.5452096466875348e-05,6.111111111111111
7.025476483984077e-06,6.222222222222221
1.080341387436261e-05,6.333333333333333
1.7371203582048036e-05,6.444444444444444
1.07395916782229e-05,6.555555555555555
9.660946245934925e-06,6.666666666666666
6.306816098611811e-06,6.777777777777778
5.210876871952448e-06,6.888888888888888
7.609706114029223e-06,7.0
1.1926504964074767e-05,7.111111111111111
6.795937581022612e-06,7.222222222222221
1.0866871800617492e-05,7.333333333333333
8.25408900080899e-06,7.444444444444444
5.249947431858373e-06,7.555555555555555
1.004995353988842e-05,7.666666666666666
1.660166763963872e-05,7.777777777777778
8.296742966809972e-06,7.888888888888888
3.9124295017659865e-06,8.0
7.75035129197108e-06,8.11111111111111
2.0318763572721278e-05,8.222222222222221
6.609128840821388e-06,8.333333333333332
7.879878614865113e-06,8.444444444444445
7.51682481766763e-06,8.555555555555555
1.4678556062533717e-05,8.666666666666666
7.487130462777212e-06,8.777777777777777
3.6790684479515374e-06,8.88888888888889
9.11442177357258e-06,9.0
6.0897292464976224e-06,9.11111111111111
7.240100908252608e-06,9.222222222222221
6.644508241146578e-06,9.333333333333332
1.1841379447364941e-05,9.444444444444445
3.281435376192361e-06,9.555555555555555
3.574007100117159e-06,9.666666666666666
1.3441301254397852e-05,9.777777777777777
8.559527493861468e-06,9.888888888888888
1.2772168122125195e-05,10.0
8.52589296230241e-06,10.11111111111111
9.9479572921872e-06,10.222222222222221
1.3360196896850948e-05,10.333333333333332
8.430848679427715e-07,10.444444444444445
1.2909498113618008e-05,10.555555555555555
7.73696527666208e-06,10.666666666666666
1.2068851545528747e-05,10.777777777777777
6.950731979252425e-06,10.888888888888888
3.3975499899269857e-06,11.0
1.0376291022958125e-05,11.11111111111111
1.1076110053918305e-05,11.222222222222221
1.841009311677529e-05,11.333333333333332
9.313883611428186e-06,11.444444444444445
2.845618825706399e-06,11.555555555555555
1.883340630521404e-05,11.666666666666666
5.728524778818498e-06,11.777777777777777
8.023355455834974e-06,11.888888888888888
7.187579136980221e-06,12.0
1.6790868742166106e-05,12.11111111111111
8.675851876547831e-06,12.222222222222221
8.247943601399776e-06,12.333333333333332
1.30408489845365e-05,12.444444444444443
8.409402000706048e-06,12.555555555555555
1.083258739184557e-05,12.666666666666666
1.632226569702792e-05,12.777777777777777
1.4987934821297895e-05,12.888888888888888
2.3059648306487986e-06,13.0
1.5880911797807196e-05,13.11111111111111
1.0234421403383384e-05,13.222222222222221
6.1387459700528615e-06,13.333333333333332
9.447653078837831e-06,13.444444444444443
1.0902791251458678e-05,13.555555555555555
1.29567692037902e-05,13.666666666666666
4.195901737739338e-06,13.777777777777777
9.773922576155087e-06,13.888888888888888
8.183791435283614e-06,14.0
1.617132477974726e-05,14.11111111111111
1.0909201932103876e-05,14.222222222222221
3.8524880045793875e-06,14.333333333333332
8.916633424489171e-06,14.444444444444443
4.900674972716785e-06,14.555555555555555
9.986163027968301e-06,14.666666666666666
1.6264950147789442e-05,14.777777777777777
3.0589563412051397e-06,14.888888888888888
1.0245112382443401e-05,15.0
6.385989591962272e-06,15.11111111111111
7.756801373171452e-06,15.222222222222221
3.4190300324101875e-06,15.333333333333332
1.203329771218041e-05,15.444444444444443
2.7851755763457063e-06,15.555555555555555
1.81030541071742e-05,15.666666666666666
1.5458099450023093e-05,15.777777777777777
1.2933452643961392e-05,15.888888888888888
4.283233387860936e-06,16.0
5.8847654309024096e-06,16.11111111111111
1.6088664832882617e-05,16.22222222222222
9.695713166146451e-06,16.333333333333332
1.8459733981831671e-06,16.444444444444443
5.033648178381414e-06,16.555555555555554
3.4726084972040987e-06,16.666666666666664
4.477085520418799e-06,16.77777777777778
1.0986457164546937e-05,16.88888888888889
1.5387968339069916e-05,17.0
6.9087324044394685e-06,17.11111111111111
6.717505433040919e-06,17.22222222222222
1.3485645911386602e-05,17.333333333333332
1.5194027371248848e-05,17.444444444444443
7.99638504830003e-06,17.555555555555554
2.2872145158070843e-05,17.666666666666664
5.871058715051632e-06,17.77777777777778
1.4322749201966075e-05,17.88888888888889
7.275706518023521e-06,18.0
7.076870912591235e-06,18.11111111111111
1.8800176649556094e-05,18.22222222222222
1.0745308416499618e-05,18.333333333333332
5.736796297722916e-06,18.444444444444443
1.4002517541977852e-06,18.555555555555554
8.709369153110894e-06,18.666666666666664
1.8384920153082457e-05,18.777777777777775
1.3905969418254847e-06,18.88888888888889
4.564345006144447e-06,19.0
3.535950259684849e-06,19.11111111111111
4.804883851611418e-06,19.22222222222222
2.8359628461203267e-06,19.333333333333332
2.0661225144280268e-05,19.444444444444443
9.856906061023322e-06,19.555555555555554
8.750756912183251e-06,19.666666666666664
1.5523632157660112e-05,19.777777777777775
2.346430958030236e-05,19.88888888888889
1.3642447428256479e-05,20.0
4.544890777787439e-06,20.11111111111111
8.886601897638433e-07,20.22222222222222
1.4493108818945203e-05,20.333333333333332
5.420705314416205e-06,20.444444444444443
1.1710872091688e-06,20.555555555555554
3.2275153884060108e-06,20.666666666666664
1.5505057380288626e-05,20.777777777777775
6.507520055896111e-06,20.88888888888889
1.2024431819029404e-05,21.0
7.118069833032815e-06,21.11111111111111
1.9215828853430756e-05,21.22222222222222
5.5971704544244975e-06,21.333333333333332
6.42597986318734e-06,21.444444444444443
4.087253577661563e-06,21.555555555555554
1.8834803025862094e-05,21.666666666666664
1.3093216223473913e-05,21.777777777777775
8.23868923421252e-06,21.88888888888889
1.1485654201179486e-05,22.0
3.4317399397006363e-06,22.11111111111111
9.680217112921241e-06,22.22222222222222
7.019432828578614e-06,22.333333333333332
8.579036817786164e-06,22.444444444444443
1.3253223768298318e-05,22.555555555555554
1.1894448671885135e-05,22.666666666666664
3.535514893752368e-06,22.777777777777775
2.7230281538488727e-06,22.88888888888889
5.306394995558601e-06,23.0
6.324144045699911e-06,23.11111111111111
3.2804368699673593e-06,23.22222222222222
1.1717931307444521e-05,23.333333333333332
9.300250058181288e-06,23.444444444444443
1.76876586359281e-06,23.555555555555554
1.1298663692747542e-05,23.666666666666664
4.944136109666409e-06,23.777777777777775
1.125594364532306e-05,23.88888888888889
6.437915213369022e-06,24.0
1.0800191738794142e-05,24.11111111111111
3.859577474514299e-06,24.22222222222222
1.809633092682862e-05,24.333333333333332
8.379878566158881e-06,24.444444444444443
3.7428488081629226e-06,24.555555555555554
1.0665508792786921e-05,24.666666666666664
4.444579751475324e-06,24.777777777777775
8.595681490974038e-06,24.888888888888886
8.311171197365055e-06,25.0
9.272724781177788e-06,25.11111111111111
2.8105326091243195e-06,25.22222222222222
1.183044947309453e-05,25.333333333333332
1.1120313221796187e-05,25.444444444444443
6.0249761313605055e-06,25.555555555555554
8.16245499672339e-06,25.666666666666664
5.291284318016527e-06,25.777777777777775
1.5232237169117913e-05,25.888888888888886
9.574145821433396e-06,26.0
8.128589774195529e-06,26.11111111111111
1.2121785411749307e-06,26.22222222222222
4.858435818449333e-06,26.333333333333332
5.72403934478093e-06,26.444444444444443
5.884244674535718e-06,26.555555555555554
2.7106500103760317e-06,26.666666666666664
7.152881318281201e-06,26.777777777777775
5.729090435419791e-06,26.888888888888886
1.3792779186029567e-05,27.0
2.306732628979231e-06,27.11111111111111
8.0773262107924e-06,27.22222222222222
8.83302682354471e-06,27.333333333333332
6.541868747764208e-06,27.444444444444443
5.345729570286098e-06,27.555555555555554
4.402275896835239e-06,27.666666666666664
3.84696224880288e-06,27.777777777777775
1.484366232342915e-05,27.888888888888886
7.571551099346247e-06,28.0
8.774157083143782e-06,28.11111111111111
8.72815875810192e-06,28.22222222222222
1.0803935174798865e-05,28.333333333333332
3.830544896224603e-06,28.444444444444443
2.723572097056829e-06,28.555555555555554
1.0560358207707112e-05,28.666666666666664
1.0460465435669648e-05,28.777777777777775
7.275084805328682e-07,28.888888888888886
8.286658681793579e-06,29.0
2.8250065328137683e-06,29.11111111111111
1.3345293931476669e-05,29.22222222222222
1.170213826271208e-05,29.333333333333332
9.686207475130451e-06,29.444444444444443
8.774320595130299e-06,29.555555555555554
1.1086141030738622e-05,29.666666666666664
1.224816154476644e-05,29.777777777777775
1.144123324010099e-05,29.888888888888886
1.985837965221085e-05,30.0
1.2028523918989748e-05,30.11111111111111
1.0153124447453737e-05,30.22222222222222
1.510463214810403e-05,30.333333333333332
1.1074452094196624e-05,30.444444444444443
8.276925227174203e-06,30.555555555555554
6.530316333027625e-06,30.666666666666664
1.5306737564681062e-05,30.777777777777775
1.0411826102226984e-05,30.888888888888886
8.638282384454752e-06,31.0
9.40505892971028e-06,31.11111111111111
1.0876400832149645e-05,31.22222222222222
7.359909740475512e-06,31.333333333333332
3.273211338195458e-06,31.444444444444443
2.0084171823188117e-06,31.555555555555554
1.3850269365336735e-05,31.666666666666664
1.3637114334140957e-05,31.777777777777775
6.594081374070079e-06,31.888888888888886
1.0845730356379252e-05,32.0
1.577286216108662e-06,32.11111111111111
1.3105761305518715e-05,32.22222222222222
6.724856396177806e-06,32.33333333333333
2.4023818327136518e-06,32.44444444444444
7.301206971366887e-06,32.55555555555556
7.709892433694547e-06,32.666666666666664
7.4669436443783586e-06,32.77777777777778
1.501055172649728e-05,32.888888888888886
1.3447887174022253e-05,33.0
2.766294021420242e-06,33.11111111111111
1.0507444946698209e-05,33.22222222222222
3.317258402320494e-06,33.33333333333333
2.072017509016057e-05,33.44444444444444
1.329713002032257e-05,33.55555555555556
7.639909415009226e-06,33.666666666666664
2.3373178429430854e-06,33.77777777777778
1.8801826201738692e-05,33.888888888888886
7.589919532578717e-06,34.0
3.5965842824613614e-06,34.11111111111111
7.00823593992965e-06,34.22222222222222
8.225219072233448e-06,34.33333333333333
6.4549384878092606e-06,34.44444444444444
3.6636667863287896e-06,34.55555555555556
2.1973298091129503e-06,34.666666666666664
7.67520824703859e-06,34.77777777777778
7.276730482597375e-06,34.888888888888886
9.455542204887185e-06,35.0
1.0711171100242181e-05,35.11111111111111
7.833396841755743e-07,35.22222222222222
3.92335467263489e-06,35.33333333333333
1.2663683190274102e-05,35.44444444444444
8.378221491328127e-06,35.55555555555556
7.786362393770789e-06,35.666666666666664
3.1478947705274646e-06,35.77777777777778
3.249846308121108e-06,35.888888888888886
1.1168727370154446e-05,36.0
9.763810732767337e-06,36.11111111111111
9.028236841939131e-06,36.22222222222222
7.65476352730532e-06,36.33333333333333
1.3242930807694478e-05,36.44444444444444
7.883631206940335e-06,36.55555555555555
1.2589932252089826e-05,36.666666666666664
4.760405078585585e-06,36.77777777777778
1.2417145250808062e-05,36.888888888888886
4.793047793535184e-06,37.0
6.878761149432613e-06,37.11111111111111
1.7289858808547647e-05,37.22222222222222
8.945968901361123e-06,37.33333333333333
9.408161484374462e-06,37.44444444444444
4.037118094730929e-06,37.55555555555555
1.8612656588464466e-05,37.666666666666664
5.751714750928973e-06,37.77777777777778
3.89397985598473e-06,37.888888888888886
1.2041323456469529e-05,38.0
1.6939846120787528e-05,38.11111111111111
3.4291606982059477e-06,38.22222222222222
2.6783777109496246e-06,38.33333333333333
2.043717952944849e-05,38.44444444444444
5.321452779492401e-06,38.55555555555555
7.115472504051811e-06,38.666666666666664
1.2613080538403962e-05,38.77777777777778
1.415179416695059e-05,38.888888888888886
5.426916813645105e-06,39.0
5.142408790355884e-06,39.11111111111111
1.4815657226515362e-05,39.22222222222222
1.9995427797177925e-05,39.33333333333333
9.185264864382257e-06,39.44444444444444
6.424952523246193e-06,39.55555555555555
3.2833731437681037e-06,39.666666666666664
7.74980931554087e-06,39.77777777777778
1.0595777554613355e-05,39.888888888888886
6.391713238177311e-06,40.0
1.9252291736138677e-06,40.11111111111111
7.512547269802502e-06,40.22222222222222
7.1047245939254975e-06,40.33333333333333
7.701321858691456e-06,40.44444444444444
3.5384169730885293e-06,40.55555555555555
1.4295972263376167e-05,40.666666666666664
1.888693331235032e-05,40.77777777777778
1.21517836859757e-05,40.888888888888886
8.725441053074198e-06,41.0
1.4483438701622398e-05,41.11111111111111
7.756930215156862e-06,41.22222222222222
2.082560922598161e-06,41.33333333333333
1.1017135115041061e-05,41.44444444444444
1.3159426488422271e-05,41.55555555555555
7.836395472286508e-06,41.666666666666664
7.179367254045877e-06,41.77777777777778
5.5492676683873266e-06,41.888888888888886
5.286053942225185e-06,42.0
6.7298913329176865e-06,42.11111111111111
5.9890615079426666e-06,42.22222222222222
1.2635945130460726e-05,42.33333333333333
2.4969309312376756e-06,42.44444444444444
7.573906455295787e-06,42.55555555555555
1.7226341381035315e-05,42.666666666666664
1.2229199231507402e-05,42.77777777777778
8.8047902271752e-06,42.888888888888886
4.229412458215731e-06,43.0
1.7254488825113357e-06,43.11111111111111
