Amplitude,Frequency
0.03301111111111113,0.0
9.757122849237649e-06,0.1111111111111111
1.0461521015886557e-05,0.2222222222222222
3.6303196786140555e-06,0.3333333333333333
1.052531029238108e-05,0.4444444444444444
8.827980748298234e-06,0.5555555555555556
5.134468205258983e-06,0.6666666666666666
1.7845953833341066e-05,0.7777777777777777
3.836543510392533e-06,0.8888888888888888
7.387213222712007e-06,1.0
8.74466294860748e-06,1.1111111111111112
8.513458639994665e-06,1.222222222222222
1.0535459829923475e-05,1.3333333333333333
7.915449610732608e-06,1.4444444444444444
1.4557564328376196e-05,1.5555555555555554
1.3535152044076543e-05,1.6666666666666665
9.598680718028037e-06,1.7777777777777777
1.0331328621007e-05,1.8888888888888888
5.471164054141629e-06,2.0
6.945590106973673e-06,2.111111111111111
1.1237335158856305e-05,2.2222222222222223
9.455498510699102e-06,2.333333333333333
3.5824961490737426e-06,2.444444444444444
7.958442036856992e-06,2.5555555555555554
7.648556338323892e-06,2.6666666666666665
1.1247026915351788e-05,2.7777777777777777
1.1766623390964074e-05,2.888888888888889
7.4586513584913335e-06,3.0
1.1202712012068122e-05,3.1111111111111107
5.929188677513815e-06,3.222222222222222
4.246729937939003e-06,3.333333333333333
6.399483016898652e-06,3.444444444444444
8.209251189338681e-06,3.5555555555555554
8.989410549555896e-06,3.6666666666666665
5.17149388138714e-06,3.7777777777777777
7.560033935161432e-06,3.888888888888889
6.245099584555987e-06,4.0
8.74176168737567e-06,4.111111111111111
2.6836750104061105e-05,4.222222222222222
1.4694856194730405e-05,4.333333333333333
8.950476903633347e-06,4.444444444444445
8.577316419468568e-06,4.555555555555555
1.7146768956525033e-05,4.666666666666666
1.0753347131379199e-05,4.777777777777778
1.022537836876669e-05,4.888888888888888
1.1766911907890082e-05,5.0
2.176411174341716e-07,5.111111111111111
1.0203423635672556e-05,5.222222222222222
6.813412234446101e-06,5.333333333333333
1.1552812098551255e-05,5.444444444444444
1.9204599353364937e-06,5.555555555555555
8.044815829158044e-06,5.666666666666666
4.842936471159056e-06,5.777777777777778
3.6157850779683778e-06,5.888888888888888
8.05312650848668e-06,6.0
8.049904237852469e-06,6.111111111111111
1.0079539142337875e-05,6.222222222222221
1.414573216591401e-05,6.333333333333333
3.466246570975777e-06,6.444444444444444
5.205695098926594e-06,6.555555555555555
1.8359004665950869e-06,6.666666666666666
8.854247517592951e-06,6.777777777777778
8.185815561672077e-06,6.888888888888888
1.886789096678531e-05,7.0
5.613972973583507e-06,7.111111111111111
5.125021825810577e-06,7.222222222222221
1.4506775786845208e-05,7.333333333333333
8.05703741313397e-06,7.444444444444444
1.2081109549858919e-05,7.555555555555555
1.9898902193799186e-05,7.666666666666666
8.719143851735173e-06,7.777777777777778
2.0465211236374212e-05,7.888888888888888
1.5642684967628187e-06,8.0
1.197502962980007e-05,8.11111111111111
1.111742296186776e-05,8.222222222222221
5.6844779293684545e-06,8.333333333333332
1.6075040845634568e-05,8.444444444444445
8.490073059918074e-06,8.555555555555555
6.361469931215791e-06,8.666666666666666
1.1018684388789691e-05,8.777777777777777
5.700427671023422e-06,8.88888888888889
1.0998434220850396e-05,9.0
8.684127932401867e-06,9.11111111111111
1.0330141394925232e-05,9.222222222222221
7.688513846236274e-06,9.333333333333332
1.2388327679974664e-05,9.444444444444445
7.743836229113214e-06,9.555555555555555
1.4388506359996319e-05,9.666666666666666
8.819483701918423e-06,9.777777777777777
3.927430690984832e-06,9.888888888888888
8.834415115014338e-07,10.0
4.4111189261533556e-06,10.11111111111111
9.73685389052071e-06,10.222222222222221
5.6774378934152894e-06,10.333333333333332
1.1009909179214286e-05,10.444444444444445
8.393393923768258e-06,10.555555555555555
1.0549888654940324e-05,10.666666666666666
9.687941059993944e-06,10.777777777777777
1.4810633482056906e-05,10.888888888888888
9.336834285598976e-06,11.0
4.624152414395367e-06,11.11111111111111
1.5820824048793995e-05,11.222222222222221
1.3765558223642876e-05,11.333333333333332
2.3840188572890923e-05,11.444444444444445
7.339796141402622e-06,11.555555555555555
4.258207381878625e-06,11.666666666666666
4.410087880638228e-06,11.777777777777777
1.0272805088093074e-05,11.888888888888888
1.953978782021154e-06,12.0
2.6910090899141406e-05,12.11111111111111
1.0630712328611386e-05,12.222222222222221
5.931115447803681e-06,12.333333333333332
1.901918021311522e-05,12.444444444444443
5.961510140089561e-06,12.555555555555555
1.417346287915703e-05,12.666666666666666
5.32198405620711e-06,12.777777777777777
5.722445088790682e-06,12.888888888888888
1.2106045258481068e-05,13.0
4.411273183773066e-06,13.11111111111111
1.4999197339952032e-05,13.222222222222221
1.0841217907726268e-05,13.333333333333332
8.412230683754308e-06,13.444444444444443
6.685379048108239e-06,13.555555555555555
1.3387874627022668e-05,13.666666666666666
2.991069825662656e-06,13.777777777777777
1.4729719564016208e-05,13.888888888888888
1.246326464887814e-05,14.0
4.889978543707333e-06,14.11111111111111
1.5959650805097663e-05,14.222222222222221
1.1315865520906452e-05,14.333333333333332
1.2201809817148912e-05,14.444444444444443
1.004188509035334e-05,14.555555555555555
7.372951893421845e-06,14.666666666666666
1.9026586173817005e-05,14.777777777777777
7.63971115848188e-06,14.888888888888888
7.295915089250432e-06,15.0
6.1771805340564105e-06,15.11111111111111
5.8968984749870725e-06,15.222222222222221
1.831373200985234e-05,15.333333333333332
1.9949949960291888e-06,15.444444444444443
1.027802894033274e-05,15.555555555555555
7.541610512210452e-06,15.666666666666666
9.543219994027357e-06,15.777777777777777
4.256165851222835e-06,15.888888888888888
1.5315621751866634e-05,16.0
7.880951473532613e-06,16.11111111111111
3.2043479306797524e-06,16.22222222222222
6.256954032404335e-06,16.333333333333332
4.1809215241618585e-06,16.444444444444443
7.452891557584048e-06,16.555555555555554
1.0070240912477628e-05,16.666666666666664
1.3589446358283308e-05,16.77777777777778
9.978525116890707e-06,16.88888888888889
2.9163707481953443e-06,17.0
2.0703039498173004e-05,17.11111111111111
5.26059365393394e-06,17.22222222222222
7.3749376911975585e-06,17.333333333333332
1.6254719147925736e-05,17.444444444444443
3.1985519830653653e-06,17.555555555555554
